web-scraper-order,web-scraper-start-url,empresas,empresas-href,name,description,site,site-href,logo-src
"1534189700-20","https://www.lovemondays.com.br/pesquisa/empresa/pagina/2?external_job_city_id=&external_job_city_name=&q=a","4.1




Serviço Brasileiro de Apoio às Micro e Pequenas Empresas (SEBRAE)

450 avaliações

920 salários","https://www.lovemondays.com.br/trabalhar-na-sebrae","Serviço Brasileiro de Apoio às Micro e Pequenas Empresas (SEBRAE)","Descrição:O Serviço Brasileiro de Apoio às Micro e Pequenas Empresas (Sebrae) é uma entidade privada sem fins lucrativos. É um agente de capacitação e de promoção do desenvolvimento, criado para dar apoio aos pequenos negócios de todo o país. Desde 1972, trabalha para estimular o empreendedorismo e possibilitar a competitividade e a sustentabilidade dos empreendimentos de micro e pequeno porte. Para garantir o atendimento aos pequenos negócios, o Sebrae atua em todo o território nacional. Onde tem Brasil, tem Sebrae. Além da sede nacional, em Brasília, a instituição conta com pontos de atendimento nas 27 unidades da Federação.","http://www.sebrae.com.br","http://www.sebrae.com.br/","https://thumb.lovemondays.com.br/NLNOKFyqlnTJrXgViKeWfPF69FE=/68x68/https://media.lovemondays.com.br/logos/4f599f/sebrae-original.png"
"1534189778-36","https://www.lovemondays.com.br/pesquisa/empresa/pagina/1?external_job_city_id=&external_job_city_name=&q=a","4.1






Anglo American

228 avaliações

462 salários","https://www.lovemondays.com.br/trabalhar-na-anglo-american","Anglo American","Descrição:Somos um dos maiores grupos em mineração e recursos naturais do mundo, temos operações na África, Europa, América do Sul e do Norte, Austrália e Ásia, falamos mais de 20 idiomas e geramos cerca de 107 mil empregos em todo o planeta. Temos operações instaladas no Brasil desde 1973 e geramos mais de quatro mil empregos diretos e 10 mil indiretos. Possuímos hoje três unidades de negócio no País: Níquel, Minério de Ferro e Nióbio e Fosfatos, além de uma divisão de Exploração. Concentramos aqui dois dos maiores investimentos da Anglo American em todo o mundo: o projeto Minas-Rio e a planta de Barro Alto, em Goiás, inaugurada no final de 2011. Desde 2007, investimos cerca de US$ 14 bilhões no Brasil.","http://www.angloamerican.com.br/","http://www.angloamerican.com.br/","https://thumb.lovemondays.com.br/suRb1O1WAhPg-fCKsMcU5soaZU8=/68x68/https://media.lovemondays.com.br/logos/63eccb/anglo-american-original.jpg"
"1534189650-11","https://www.lovemondays.com.br/pesquisa/empresa/pagina/3?external_job_city_id=&external_job_city_name=&q=a","3.7






AES Eletropaulo

245 avaliações

513 salários","https://www.lovemondays.com.br/trabalhar-na-aes-eletropaulo","AES Eletropaulo","Descrição:A AES Eletropaulo é uma concessionária de energia de capital aberto e ações listadas na BM&F Bovespa. Atualmente, é considerada a maior distribuidora de energia elétrica do Brasil em termos de volume distribuído, de acordo com o ranking da Associação Brasileira dos Distribuidores de Energia Elétrica (Abradee), e leva energia elétrica a 20,1 milhões de pessoas na capital e Grande São Paulo e a 6,7 milhões de unidades consumidoras de 24 municípios da Região Metropolitana de São Paulo, incluindo a capital paulista. Responde pelo fornecimento de 34,1% do total de energia elétrica consumida no Estado e 10,5% do total do Brasil. Conta com 6.208 colaboradores próprios e 9.293 terceirizados, 151 subestações, 202 mil transformadores de distribuição, R$ 9,01 bilhões de receita operacional líquida e R$ 1,26 bilhão de capital social.","https://www.aeseletropaulo.com.br","https://www.aeseletropaulo.com.br/","https://thumb.lovemondays.com.br/B27Nnav_kbcWa752vw-tUSAF8N0=/68x68/https://media.lovemondays.com.br/logos/1a1d4d/aes-eletropaulo-original.png"
"1534189692-18","https://www.lovemondays.com.br/pesquisa/empresa/pagina/2?external_job_city_id=&external_job_city_name=&q=a","3.3






Atento Brasil

2430 avaliações

4945 salários","https://www.lovemondays.com.br/trabalhar-na-atento-brasil","Atento Brasil","Descrição:O Atento é uma das maiores empresas de Customer Relationship Managment (CRM) do mundo dentro do setor Business Process Outsourcing (BPO). Além disso, eles sao especialistas na terceirização de serviços e na gestão de clientes ou Customer Relationship Management (CRM). Eles têm serviços em 16 países, sendo líderes nos mercados de fala hispana e portuguesa. Para gerenciar muitos clientes e enfrentar as centenas de milhões de pessoas atendidas anualmente, contam com uma equipe de profissionais de primeiro nível e com um modelo operacional e estrutura de gestão eficientes.","http://www.atento.com/pt","http://www.atento.com/pt","https://thumb.lovemondays.com.br/C8CeFWN5cD5dLdaEqkqonhLWcIw=/68x68/https://media.lovemondays.com.br/logos/0ef966/atento-brasil-original.png"
"1534189696-19","https://www.lovemondays.com.br/pesquisa/empresa/pagina/2?external_job_city_id=&external_job_city_name=&q=a","3.5






Atos

251 avaliações

456 salários","https://www.lovemondays.com.br/trabalhar-na-atos","Atos","Descrição:Atos é uma empresa global de serviços de tecnologia da informação com receita anual (2012) de 8.8 Bilhões de Euros e 77.000 colaboradores em 47 países. Com uma base global de clientes, a empresa entrega serviços de Consultoria e Tecnologia, Integração de Sistemas e Serviços Gerenciados. Com uma vasta expertise em tecnologia e conhecimento profundo em diversos mercados, a Atos trabalha com clientes dos seguintes mercados: Manufatura, Varejo, Serviços, Setor Público, Saúde, Transportes, Serviços Financeiros, Telecomunicações, Mídia, Tecnologia, Energia e Utilities.","http://br.atos.net/","http://br.atos.net/","https://thumb.lovemondays.com.br/avFoWFOVbdYy2TJ-VihNtIMTUZc=/68x68/https://media.lovemondays.com.br/logos/f64e42/atos-original.png"
"1534189707-22","https://www.lovemondays.com.br/pesquisa/empresa/pagina/2?external_job_city_id=&external_job_city_name=&q=a","2.9






AlmavivA

432 avaliações

1017 salários","https://www.lovemondays.com.br/trabalhar-na-almaviva","AlmavivA","Descrição:A AlmavivA do Brasil é uma sociedade de Telemarketing e Informática do Grupo AlmavivA - The Italian Innovation Company - empresa líder na Itália na oferta de soluções de Information & Communication Technology. A AlmavivA do Brasil tem a melhor oferta em projetos e operações de relacionamentos com clientes e garante o mais eficiente suporte às Organizações Privadas e à Administração Pública em seus serviços que vão desde a gestão de todos os processos de Customer Care receptivo a atividades de Telemarketing, suporte operativo nos programas de lealdade, realização de pesquisas de mercado e recuperação de Credito e Cobrança.","http://www.almavivadobrasil.com.br/","http://www.almavivadobrasil.com.br/","https://thumb.lovemondays.com.br/hLT7IEvfy49dAebNhOhRbUYlexE=/68x68/https://media.lovemondays.com.br/logos/b0ba2b/almaviva-original.png"
"1534189737-27","https://www.lovemondays.com.br/pesquisa/empresa/pagina/2?external_job_city_id=&external_job_city_name=&q=a","3.6






Accenture

1715 avaliações

3331 salários","https://www.lovemondays.com.br/trabalhar-na-accenture","Accenture","Descrição:A Accenture é uma empresa líder global em serviços profissionais, com ampla atuação e oferta de soluções em estratégia de negócios, consultoria, digital, tecnologia e operações. Ao combinar experiência ímpar e competências especializadas em mais de 40 indústrias e todas as funções corporativas – e fortalecida pela maior rede de prestação de serviços no mundo –, a Accenture trabalha na interseção de negócio e tecnologia para ajudar companhias a melhorar seu desempenho e criar valor sustentável para seus stakeholders. Com mais de 435.000 profissionais atendendo a clientes em mais de 120 países, a Accenture impulsiona a inovação para aprimorar a maneira como o mundo vive e trabalha.","http://www.accenture.com/br-pt","http://www.accenture.com/br-pt","https://thumb.lovemondays.com.br/QapBZtxx1z2hykXsu6cWtzW7xWo=/370x370/https://media.lovemondays.com.br/empregados/e8a523/guilherme-couceiro-original.jpg"
"1534189754-30","https://www.lovemondays.com.br/pesquisa/empresa/pagina/1?external_job_city_id=&external_job_city_name=&q=a","3.4






AeC

325 avaliações

733 salários","https://www.lovemondays.com.br/trabalhar-na-aec","AeC","Descrição:A AeC é uma das maiores e mais respeitadas empresas do Brasil em outsourcing nas áreas de Contact Center, Consultoria, Software e Gestão em Saúde.","http://www.aec.com.br/","http://www.aec.com.br/","https://thumb.lovemondays.com.br/M__WpiKtutp1wLNOnfQXXXLSLPg=/68x68/https://media.lovemondays.com.br/logos/712a4c/aec-original.png"
"1534189782-37","https://www.lovemondays.com.br/pesquisa/empresa/pagina/1?external_job_city_id=&external_job_city_name=&q=a","3.6






Assai Atacadista

249 avaliações

788 salários","https://www.lovemondays.com.br/trabalhar-na-assai-atacadista","Assai Atacadista","Descrição:Operando desde 1974, o Assaí Atacadista é um dos mais tradicionais atacadistas brasileiros. Com 79 lojas espalhadas pelo Brasil, oferece produtos de diversas áreas, como mercearia, alimentos, embalagens, bazar, higiene, bebidas, limpeza, entre outros. Presente em 13 estados, possui mais de 120 milhões de clientes por ano.","http://www.assai.com.br/","http://www.assai.com.br/","https://thumb.lovemondays.com.br/94gTtaocN7a42ddqOTJH44WP5J0=/68x68/https://media.lovemondays.com.br/logos/c5140c/assai-atacadista-original.jpg"
"1534189775-35","https://www.lovemondays.com.br/pesquisa/empresa/pagina/1?external_job_city_id=&external_job_city_name=&q=a","4.0






ADM - Archer Daniels Midland

394 avaliações

541 salários","https://www.lovemondays.com.br/trabalhar-na-adm-archer-daniels-midland","ADM - Archer Daniels Midland","Descrição:A ADM é uma das maiores empresas de agronegócio no Brasil. Com mais de 3.000 empregados, a empresa processa soja em quatro instalações e comercializa as marcas de óleo de soja Concórdia e Corcovado, além da linha de óleos vegetais especiais Vitaliv. A empresa opera a maior planta de biodiesel no Brasil e mais de 40 silos em todo o país. A ADM está construindo uma fábrica de produção de proteína de soja próxima da instalação existente de processamento de grãos de soja da empresa em Campo Grande, Mato Grosso do Sul. Com mais de 5.000 colaboradores na América Latina, a empresa atua na Argentina, Brasil, Bolívia, Chile, Paraguai, Peru e Uruguai. Presente em toda a cadeia do agronegócio, a companhia opera oito plantas de processamento de soja, duas de biodiesel, duas de processamento de amendoins, mais de sessenta silos e portos na Argentina, Brasil e Paraguai.

Por mais de um século, as pessoas da Archer Daniels Midland Company (NYSE: ADM) tem transformado culturas agrícolas em produtos que atendem as necessidades vitais de um mundo em crescimento. Hoje, somos um dos maiores processadores agrícolas e fornecedores de ingredientes alimentares, com mais de 32.300 empregados, servindo em mais de 160 países. Com uma cadeia de valor global que inclui mais de 428 unidades de compras de culturas agrícolas, 280 instalações de processamento de ingredientes, 39 centros de inovação e uma rede de transporte de cultivo de primeiro nível mundial, nós conectamos as colheitas aos lares, produzindo produtos para alimentação, ração animal, uso químico e energia. Saiba mais em www.adm.com.","https://www.adm.com/adm-worldwide/brazil-pr","https://www.adm.com/adm-worldwide/brazil-pr","https://thumb.lovemondays.com.br/EFa_d4ZvhvBlqMsmNIbT_33swPY=/370x370/https://media.lovemondays.com.br/empregados/7d7348/luiza-original.jpg"
