web-scraper-order,web-scraper-start-url,empresas,empresas-href,name,description,site,site-href,logo-src
"1534196526-739","https://www.lovemondays.com.br/pesquisa/empresa/pagina/2?external_job_city_id=&external_job_city_name=&q=y","4.5






Youse Seguros

46 avaliações

83 salários","https://www.lovemondays.com.br/trabalhar-na-youse-seguros","Youse Seguros","Descrição: Somos a Youse, uma plataforma de venda de seguros online da Caixa Seguradora. Acreditamos em um novo tipo de seguro: o que tem a cara e a personalidade dos nossos clientes. Nascemos para oferecer proteção com tecnologia, simplicidade, sem complicação e 100% online, com um time de experts à sua disposição, 24h por dia, 7 dias por semana.","https://www.youse.com.br/","https://www.youse.com.br/","https://thumb.lovemondays.com.br/BAyAe3oC_OlW2RaqP1fb_8QHWEA=/68x68/https://thumb.lovemondays.com.br/image/72f3f33271674b448b7222505b2065a3/logos/c6f7de/youse-seguros-1.png"
"1534196541-742","https://www.lovemondays.com.br/pesquisa/empresa/pagina/1?external_job_city_id=&external_job_city_name=&q=y","3.1






Yes! Idiomas

55 avaliações

96 salários","https://www.lovemondays.com.br/trabalhar-na-yes-idiomas","Yes! Idiomas","Descrição: Rede de cursos de idiomas presente em várias regiões do país.","http://cursoyes.com/","http://cursoyes.com/","https://thumb.lovemondays.com.br/OxJuHf3EbklTSuEjxg3SemJuVIQ=/68x68/https://media.lovemondays.com.br/logos/5bb94c/yes-idiomas-original.png"
"1534196512-737","https://www.lovemondays.com.br/pesquisa/empresa/pagina/2?external_job_city_id=&external_job_city_name=&q=y","n/d






Yoggi

0 avaliações

9 salários","https://www.lovemondays.com.br/trabalhar-na-yoggi-brasil","Yoggi","Site
http://www.yoggi.com.br/","http://www.yoggi.com.br/","http://www.yoggi.com.br/","https://thumb.lovemondays.com.br/1qdBJ0ykJkMWclTEiakeSqRqqt8=/68x68/https://thumb.lovemondays.com.br/image/9d17a0eb97994c3c8647ad642cc62bd6/logos/fd9f15/yoggi-brasil.png"
"1534196576-751","https://www.lovemondays.com.br/pesquisa/empresa/pagina/1?external_job_city_id=&external_job_city_name=&q=y","3.4






Yázigi

164 avaliações

273 salários","https://www.lovemondays.com.br/trabalhar-na-yazigi","Yázigi","Descrição: Yázigi é uma escola de idiomas. O Compromisso do Yázigi é o de formar cidadãos. Dominar outro idioma como o inglês ou o espanhol é fundamental para conseguir novas oportunidades e contatos, ampliar conhecimento e fazer amigos. É isso que o Yázigi oferece, ensino que vai além da sala de aula, mas com um destino certo: o seu aprendizado. Aqui o ensino é assim, divertido, diversificado e cheio de novas experiências, como toda viagem deve ser.","http://www.yazigi.com.br/","http://www.yazigi.com.br/","https://thumb.lovemondays.com.br/NkKIzg_fijKQVuiAIaRWa7FasF0=/68x68/https://media.lovemondays.com.br/logos/3aa34a/yazigi-original.jpg"
"1534196517-738","https://www.lovemondays.com.br/pesquisa/empresa/pagina/2?external_job_city_id=&external_job_city_name=&q=y","5.0






Yaskawa

4 avaliações

17 salários","https://www.lovemondays.com.br/trabalhar-na-yaskawa","Yaskawa","Descrição: Yaskawa pioneira em desenvolvimento de novas tecnologias. Localizada em Tokio, no Japão, a companhia possui 26 centros de negócios localizados ao redor do mundo e emprega aproximadamente 15.000 mil funcionários. As áreas de negócios da Yaskawa são divididas em 03 importantes segmentos; Drives, Motion Control e Robótica. A matriz brasileira foi fundada em 1974 seguindo os padrões da Yaskawa Corp fundada em 1915. O crescimento daYaskawa vem sendo concretizado principalmente pelo direcionamento de esforços em Pesquisa e Desenvolvimento (P&D). A empresa possui centros de desenvolvimento e parcerias com universidades para o desenvolvimento de novos produtos e sistemas.","http://www.yaskawa.com.br/","http://www.yaskawa.com.br/","https://thumb.lovemondays.com.br/RRE-kk8QeRTaO1Mb7l7b3Ov7i9Q=/68x68/https://media.lovemondays.com.br/logos/2ff9fa/yaskawa-original.jpg"
"1534196475-728","https://www.lovemondays.com.br/pesquisa/empresa/pagina/3?external_job_city_id=&external_job_city_name=&q=y","3.8






YouTube

4 avaliações

15 salários","https://www.lovemondays.com.br/trabalhar-na-youtube","YouTube","Site
http://www.youtube.com","http://www.youtube.com","http://www.youtube.com/",""
"1534196556-746","https://www.lovemondays.com.br/pesquisa/empresa/pagina/1?external_job_city_id=&external_job_city_name=&q=y","4.4






Yaman

63 avaliações

104 salários","https://www.lovemondays.com.br/trabalhar-na-yaman","Yaman","Descrição: Somar forças para fazer mais e melhor. A Yaman acredita que tudo é mais fácil quando trabalhamos juntos. Por isso, criamos soluções personalizadas que melhoram a performance e a qualidade de suas aplicações e dão previsibilidade para a sua operação. De maneira simples, eficiente e integrada.","http://www.yaman.com.br","http://www.yaman.com.br/","https://thumb.lovemondays.com.br/atSKhgBfw6Qbc253vfhaDUtmb6o=/68x68/https://thumb.lovemondays.com.br/image/e5c6a421ffda4c929ba5514213118343/logos/c824f9/yaman.jpg"
"1534196460-724","https://www.lovemondays.com.br/pesquisa/empresa/pagina/3?external_job_city_id=&external_job_city_name=&q=y","4.0






A. Yoshii Engenharia

18 avaliações

34 salários","https://www.lovemondays.com.br/trabalhar-na-a-yoshii-engenharia","A. Yoshii Engenharia","Site
http://www.ayoshii.com.br/","http://www.ayoshii.com.br/","http://www.ayoshii.com.br/",""
"1534196483-730","https://www.lovemondays.com.br/pesquisa/empresa/pagina/3?external_job_city_id=&external_job_city_name=&q=y","3.8






Yamana Gold

28 avaliações

76 salários","https://www.lovemondays.com.br/trabalhar-na-yamana-gold","Yamana Gold","Site
http://www.yamana.com","http://www.yamana.com","http://www.yamana.com/",""
"1534196548-744","https://www.lovemondays.com.br/pesquisa/empresa/pagina/1?external_job_city_id=&external_job_city_name=&q=y","4.5






YKP

61 avaliações

56 salários","https://www.lovemondays.com.br/trabalhar-na-ykp","YKP","Descrição: O grupo YKP é uma empresa de consultoria, especialista em implementação e sustentação de sistemas de gestão empresarial, fiscal e tecnologias inovadoras para empresas de todos os portes e segmentos, nacionais e multinacionais. Fundada em 1989, as especialidades da empresa são: gestão empresarial, gestão fiscal e tributária, business intelligence, BPO, cloud computing e web, mobile e e-commerce. Possui como aliado a Oracle para soluções na área de gestão empresarial, a Thomson Reuters para venda e implantação das soluções fiscais e a Softway para atuações na área de comércio exterior.","http://www.ykp.com.br/","http://www.ykp.com.br/","https://thumb.lovemondays.com.br/94HLuQqDbFk_BhfF0aeD_w5MXzA=/68x68/https://media.lovemondays.com.br/logos/236ab7/ykp-original.png"
"1534196572-750","https://www.lovemondays.com.br/pesquisa/empresa/pagina/1?external_job_city_id=&external_job_city_name=&q=y","3.3






EY (Ernst & Young)

1320 avaliações

2548 salários","https://www.lovemondays.com.br/trabalhar-na-ey-ernst-and-young","EY (Ernst & Young)","Descrição: A EY é líder global em auditoria, impostos, transações e consultoria. Seus 167,000 colaboradores são unidos pelos mesmos valores, os quais inspiram seus profissionais em todo o mundo e os orientam a fazer a coisa certa. A EY está empenhada em fazer a sua parte na construção de um mundo melhor trabalhando em prol da sociedade, clientes e comunidades. No Brasil, a EY integrou suas operações com a Terco, resultando na EY Terco. O objetivo da operação é conquistar a liderança no setor. Para isso, as empresas uniram suas melhores características: a forte presença da Terco no segmento de middle market e de incorporações imobiliárias e a experiência global da EY no atendimento a grandes contas e clientes multinacionais.","http://www.ey.com.br","http://www.ey.com.br/","https://thumb.lovemondays.com.br/d1hOs_vgoj2-FJVnWkjFU6rETwA=/68x68/https://media.lovemondays.com.br/logos/20e87c/ey-ernst-and-young-original.png"
"1534196494-732","https://www.lovemondays.com.br/pesquisa/empresa/pagina/2?external_job_city_id=&external_job_city_name=&q=y","n/d






Ynner Treinamentos

1 avaliação

3 salários","https://www.lovemondays.com.br/trabalhar-na-ynner-treinamentos","Ynner Treinamentos","Descrição: A Ynner Treinamentos desenvolve TREINAMENTOS SOB MEDIDA para sua empresa para que ela tenha colaboradores preparados, consistentes e comprometidos. Usando a metodologia ""Corpo, Mente e Alma"" a Ynner Treinamentos garante um treinamento com Alta APLICABILIDADE, CONCEITOS Sólidos e Extremamente

DINÂMICOS e Envolventes.","http://www.ynner.com.br/","http://www.ynner.com.br/","https://thumb.lovemondays.com.br/GpzRqDSJhCHhxp_GCpUlRIwfP_o=/68x68/https://media.lovemondays.com.br/logos/869fdf/ynner-treinamentos-original.png"
